"filename", "language", "PHP", "SCSS", "JavaScript", "XML", "CSS", "SQL", "Markdown", "HTML", "JSON", "Less", "TypeScript", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_brand.scss", "SCSS", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 81
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_buttons.scss", "SCSS", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 109
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_callout.scss", "SCSS", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 52
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_cards.scss", "SCSS", 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 87, 475
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_carousel.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_colors.scss", "SCSS", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 18, 92
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_control-sidebar.scss", "SCSS", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 179
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_direct-chat.scss", "SCSS", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40, 225
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_dropdown.scss", "SCSS", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 43, 273
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_elevation.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 15
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_forms.scss", "SCSS", 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 39, 278
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_info-box.scss", "SCSS", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 147
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_layout.scss", "SCSS", 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 110, 633
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_main-header.scss", "SCSS", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 139
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_main-sidebar.scss", "SCSS", 0, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 147, 943
